sample_id,asv_id,health,n_reads,rclr
2016_S_SB_D_250,ASV972,D,0,0
2016_S_SB_D_250,ASV980,D,0,0
2016_S_SB_D_250,ASV982,D,0,0
2016_S_SB_D_250,ASV984,D,0,0
2016_S_SB_D_250,ASV989,D,0,0
2016_S_SB_D_250,ASV996,D,0,0
2016_S_SB_D_250,ASV997,D,0,0
2016_S_SB_D_250,ASV1002,D,0,0
2016_S_SB_D_250,ASV1003,D,0,0
2016_S_SB_D_250,ASV1004,D,0,0
2016_S_SB_D_250,ASV1020,D,0,0
2016_S_SB_D_250,ASV1024,D,0,0
2016_S_SB_D_250,ASV1025,D,0,0
2016_S_SB_D_250,ASV1026,D,0,0
2016_S_SB_D_250,ASV1027,D,0,0
2016_S_SB_D_250,ASV1030,D,0,0
2016_S_SB_D_250,ASV1032,D,0,0
2016_S_SB_D_250,ASV1034,D,0,0
2016_S_SB_D_250,ASV1036,D,0,0
2016_S_SB_D_250,ASV1037,D,0,0
2016_S_SB_D_250,ASV1039,D,0,0
2016_S_SB_D_250,ASV1044,D,0,0
2016_S_SB_D_250,ASV1046,D,0,0
2016_S_SB_D_250,ASV1048,D,0,0
2016_S_SB_D_250,ASV1049,D,0,0
2016_S_SB_D_250,ASV1053,D,0,0
2016_S_SB_D_250,ASV1054,D,0,0
2016_S_SB_D_250,ASV1057,D,0,0
2016_S_SB_D_250,ASV1058,D,0,0
2016_S_SB_D_250,ASV1061,D,0,0
2016_S_SB_D_250,ASV1062,D,0,0
2016_S_SB_D_250,ASV1064,D,0,0
2016_S_SB_D_250,ASV1065,D,0,0
2016_S_SB_D_250,ASV1066,D,0,0
2016_S_SB_D_250,ASV1069,D,0,0
2016_S_SB_D_250,ASV1070,D,0,0
2016_S_SB_D_250,ASV1072,D,0,0
2016_S_SB_D_250,ASV1074,D,0,0
2016_S_SB_D_250,ASV1076,D,0,0
2016_S_SB_D_250,ASV1081,D,0,0
2016_S_SB_D_250,ASV1085,D,0,0
2016_S_SB_D_250,ASV1090,D,0,0
2016_S_SB_D_250,ASV1091,D,0,0
2016_S_SB_D_250,ASV1092,D,0,0
2016_S_SB_D_250,ASV1095,D,0,0
2016_S_SB_D_250,ASV1099,D,0,0
2016_S_SB_D_250,ASV1104,D,0,0
